"filename", "language", "JSON with Comments", "TypeScript", "Shell Script", "JSON", "JavaScript", "Markdown", "HTML", "comment", "blank", "total"
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\enums\CalculationStrategy.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 15, 7, 52
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\enums\Dimension.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 10, 6, 24
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\enums\LogLevel.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 19, 6, 46
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\enums\PositionUnit.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 9, 4, 33
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\enums\PositionValue.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 10, 5, 32
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\enums\ScaleUnit.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 9, 4, 26
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\enums\ScaleValue.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 11, 6, 30
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\enums\SizeUnit.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 9, 4, 27
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\enums\SizeValue.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 9, 4, 23
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\enums\TemplateInputType.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 8, 4, 18
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\enums\UnitType.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 4, 1, 10
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\enums\ValidationType.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 15, 7, 55
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\enums\index.ts", "TypeScript", 0, 54, 0, 0, 0, 0, 0, 23, 27, 104
